,Name,Record,Wins,Losses,Draws,Height_cm,Weight_lbs,Reach_inch,Stance,Debut,SLpM,StrAcc,SApM,StrDef,TD_Avg,TD_Acc,TD_Def,Sub_Avg
1649,Brian Schwartz,Record: 1-1-0,1.0,1.0,0.0,190.50231650816875,170.0,,Orthodox,,1.27,0.44,0.87,0.45,0.0,0.0,0.5,1.0
1650,Tor Troeng,Record: 16-7-1,16.0,7.0,1.0,187.96228562139316,185.0,,Orthodox,1983.0,1.16,0.46,3.26,0.32,0.62,0.07,0.66,0.3
1651,Justin Patterson,Record: 9-3-0,9.0,3.0,0.0,177.80216207429083,170.0,,,1985.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1652,Zhang Weili,Record: 21-1-0,21.0,1.0,0.0,162.56197675363734,115.0,63.0,Switch,1989.0,6.38,0.45,4.43,0.53,1.26,0.23,1.0,0.5
1653,Nate Diaz,Record: 21-12-0,21.0,12.0,0.0,182.882223847842,170.0,76.0,Southpaw,1985.0,4.62,0.45,3.78,0.53,1.19,0.3,0.42,1.4
1654,Ray Sefo,Record: 2-2-0,2.0,2.0,0.0,182.882223847842,240.0,,Orthodox,1971.0,0.86,0.31,1.71,0.72,0.0,0.0,0.66,0.0
1655,Maka Watson,Record: 4-2-0,4.0,2.0,0.0,,155.0,,,1984.0,0.93,0.37,1.6,0.22,2.0,1.0,0.33,0.0
1656,Drew Dober,Record: 23-10-0 (1 NC),23.0,10.0,0.0,172.72210030073967,155.0,70.0,Southpaw,1988.0,4.33,0.4,3.87,0.54,0.8,0.17,0.55,0.1
1657,Tanner Boser,Record: 19-7-1,19.0,7.0,1.0,187.96228562139316,255.0,75.0,Orthodox,1991.0,4.54,0.55,2.7,0.63,0.0,0.0,1.0,0.0
1658,Aaron Lanfranco,Record: 5-1-0,5.0,1.0,0.0,,155.0,,,1986.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1659,LC Davis,Record: 23-8-0,23.0,8.0,0.0,172.72210030073967,135.0,69.0,Southpaw,1980.0,2.04,0.3,2.1,0.59,2.27,0.46,0.66,0.2
1660,Brandon Visher,Record: 13-3-0,13.0,3.0,0.0,167.6420385271885,135.0,68.0,Orthodox,1984.0,2.55,0.45,3.76,0.42,0.67,0.2,0.0,0.0
1661,Jerome Rivera,Record: 10-5-0,10.0,5.0,0.0,177.80216207429083,145.0,72.0,Southpaw,1995.0,3.08,0.34,2.47,0.51,0.0,0.0,0.4,0.0
1662,Jim Wallhead,Record: 29-11-0,29.0,11.0,0.0,177.80216207429083,170.0,,Orthodox,1984.0,3.19,0.26,6.65,0.49,0.0,0.0,1.0,0.0
1663,John Reedy,Record: 11-6-0,11.0,6.0,0.0,172.72210030073967,155.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1664,Chris Camozzi,Record: 24-13-0,24.0,13.0,0.0,187.96228562139316,185.0,75.0,Orthodox,1986.0,3.57,0.44,2.96,0.56,0.27,0.19,0.57,0.5
1665,Jerry Bohlander,Record: 11-4-0,11.0,4.0,0.0,180.34219296106642,199.0,,Orthodox,1974.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1666,Miranda Maverick,Record: 11-2-0,11.0,2.0,0.0,160.02194586686176,125.0,65.0,Southpaw,1997.0,6.0,0.48,2.85,0.61,2.25,0.75,0.5,0.0
1667,Jaime Jara,Record: 38-18-0 (1 NC),38.0,18.0,0.0,185.42225473461758,205.0,,Southpaw,1969.0,2.2,0.6,1.47,0.56,0.0,0.0,0.25,0.0
1668,Jeremy Boczulak,Record: 0-2-0,0.0,2.0,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1669,Dave Galera,Record: 5-1-0,5.0,1.0,0.0,180.34219296106642,135.0,,Orthodox,1978.0,1.67,0.69,0.53,0.33,0.0,0.0,0.14,2.0
1670,Cheyden Leialoha,Record: 6-0-0,6.0,0.0,0.0,172.72210030073967,135.0,73.0,Orthodox,1994.0,1.87,0.28,3.2,0.53,2.0,0.33,0.71,0.0
1671,Tarec Saffiedine,Record: 16-7-0,16.0,7.0,0.0,177.80216207429083,170.0,70.0,Switch,1986.0,4.05,0.47,3.06,0.62,0.52,0.36,0.84,0.1
1672,Jonathan Rivera,Record: 4-2-0,4.0,2.0,0.0,,155.0,,,,4.36,0.49,3.9,0.6,0.0,0.0,0.0,0.0
1673,Rashard Lovelace,Record: 4-1-0,4.0,1.0,0.0,,155.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1674,Goran Reljic,Record: 15-8-0,15.0,8.0,0.0,190.50231650816875,205.0,81.0,Southpaw,1984.0,1.69,0.37,2.69,0.59,1.69,0.5,0.33,1.1
1675,Ty Flores,Record: 7-3-0,7.0,3.0,0.0,190.50231650816875,205.0,73.0,Switch,1993.0,2.0,0.37,7.8,0.25,1.0,0.09,0.0,0.0
1676,Jesse Taylor,Record: 31-15-0,31.0,15.0,0.0,182.882223847842,170.0,73.0,Orthodox,1983.0,1.94,0.65,0.55,0.38,7.28,0.5,1.0,3.1
1677,Sako Chivitchian,Record: 8-1-0,8.0,1.0,0.0,180.34219296106642,155.0,,,1984.0,2.4,0.27,4.8,0.46,0.0,0.0,1.0,0.0
1678,James Krause,Record: 28-9-0,28.0,9.0,0.0,187.96228562139316,170.0,73.0,Orthodox,1986.0,4.79,0.49,4.11,0.61,0.96,0.18,0.59,0.9
